gene_id,gene_name,pyruvate,glucose,glucose + glutamate,amino acids,glucose + amino acids
BSU28220,clpX,2616.03156719,1689.88867012,2403.64744886,6358.18389618,11330.0310659
BSU16160,clpY,2586.2561348,854.17207795,615.01839058,1936.12161561,2960.18191131
BSU22890,cmk,1012.91306308,945.05012988,798.71438268,2023.17698403,4325.48984806
BSU16170,codY,2523.59106286,955.20325175,1586.89844203,3409.00000479,9218.91754969
BSU31680,comA,1060.47318094,320.47722006,256.13263813,623.3857793,598.944305
BSU25580,comEB,924.28004023,288.25708292,,,
BSU27660,comN,549.57487922,139.94696357,,,
BSU33510,copZ,2558.65828955,363.43093292,379.37402058,1217.76280448,2346.13884786
BSU17030,cotE,248.58836949,,,510.62754797,
BSU27830,coxA,287.82316981,,,,
BSU32690,csd,1713.95045407,1120.93728015,1300.79047365,1679.53640645,2871.67531448
BSU04580,cshA,387.29685823,1431.24169385,1917.32399362,1449.70269076,9733.80546816
BSU00520,ctc,7850.5979411,711.52780216,649.45394742,5776.10965091,2041.24895691
BSU19590,ctpA,234.17050069,87.67790834,79.00976506,220.04793694,430.99007518
BSU34160,cycB,128.50189987,,,427.26446731,
BSU27520,cymR,1700.30688044,508.21353699,613.9740487,1038.91094968,3409.34220541
BSU15600,cysC,4195.39942443,1080.46438915,1899.57593852,1029.63931805,1568.94038071
BSU15570,cysH,1695.25223105,520.45046161,908.16833256,,1180.94473313
BSU33430,cysI,2928.00317272,1771.57258483,1925.12960172,1406.99040545,742.2743673
BSU33440,cysJ,4101.59737272,2899.20552309,2803.63023352,1652.08010932,768.27987947
BSU00730,cysK,7092.9522982,2938.73181758,3030.36198118,10887.3404338,8919.01849743
BSU00940,cysS,856.21332953,245.76958728,493.35076246,1068.80039275,2163.30783507
BSU00100,dacA,1135.65662244,218.735512,355.35749013,2345.97099191,4433.62169092
BSU16770,dapA,320.43317134,536.53569755,307.62707626,1926.36173459,1598.30038331
BSU22490,dapB,176.97306877,306.48113147,361.18629445,864.69059542,1810.88723381
BSU09670,dat,3558.33183068,1262.07202946,512.37112237,793.97756822,524.679433
BSU04560,ddl,685.70130257,1313.09074521,547.64571459,1614.34991829,2943.73043423
BSU35500,degS,1127.21481981,68.99987495,42.850755,,329.91997709
BSU35490,degU,1597.72107382,1626.99579664,1007.62343022,2453.60883303,5013.76614056
BSU19630,deoD,878.38159994,457.32273392,681.28131718,1532.70042485,4119.89624999
BSU19200,desR,351.83072634,,,,
BSU19310,dhaS,4898.48504736,780.33443229,68.58269128,2339.10673923,
BSU32000,dhbA,1143.32702526,4437.95015455,2503.80490101,1408.15460325,2028.0755964
BSU31970,dhbB,6741.22694902,13864.8819522,8927.52536705,4985.51354209,7243.83759276
BSU31990,dhbC,602.52817574,9036.97019192,6857.10278837,3893.24384374,4780.34311704
BSU31980,dhbE,1395.31245548,4898.65003806,3708.95248278,1655.61732177,2498.90247714
BSU15420,divIVA,3860.30393158,1595.40554347,1474.29518502,3552.60543038,3435.47817622
BSU38520,dltC,2033.65044108,1394.32029919,966.8925083,3427.3309644,10054.3611089
BSU00010,dnaA,278.46152337,234.2547072,425.48573381,1252.08835413,1106.68022453
BSU25470,dnaK,12433.585697,5860.10438839,7280.46799893,22948.6539362,45724.8833452
BSU00020,dnaN,346.85729508,375.85691024,662.81477435,2264.81365036,4704.13850594
BSU12960,dppE,4015.72703671,246.80830366,,,
BSU30650,dps,1433.58560618,1253.71638814,1404.14357386,1655.11293264,316.08567533
BSU39420,dra,675.61562529,726.93456605,339.24548711,900.03380811,2164.34800769
BSU10050,ecsB,138.56781733,,,,612.05179511
