,reaction_id,EC_number
96,ACOAD1f,1.3.99.3
97,ACOAD2f,1.3.99.3
98,ACOAD3f,1.3.99.3
99,ACOAD4f,1.3.99.3
100,ACOAD5f,1.3.99.3
101,ACOAD6f,1.3.99.3
102,ACOAD7f,1.3.99.3
103,ACOATA,2.3.1.86
104,ACODA,3.5.1.16
105,ACONIs,5.3.3.7
106,ACONMT,2.1.1.144
107,ACONTa,4.2.1.3
108,ACONTb,4.2.1.3
109,ACOTA,2.6.1.11
110,ACPS1,2.7.8.7
111,ACS,6.2.1.1
112,ADA,3.5.4.4
113,ADCL,4.1.3.38
114,ADCS,2.6.1.85
115,ADD,3.5.4.2
116,ADK1,2.7.4.3
117,ADK3,2.7.4.4
118,ADMDC,4.1.1.50
119,ADNCYC,4.6.1.1
120,ADNK1,2.7.1.74
121,ADNUC,3.2.2.8
122,ADOCBIK,2.7.1.156
123,ADOCBLS,2.7.8.26
124,ADPRDP,3.6.1.13
125,ADPT,2.4.2.8
126,ADSK,2.7.1.25
127,ADSL1r,4.3.2.2
128,ADSL2r,4.3.2.2
129,ADSS,6.3.4.4
130,AGDC,3.5.1.25
131,AGMHE,5.1.3.20
132,AGMT,3.5.3.11
133,AGPAT120,2.3.1.51
134,AGPAT140,2.3.1.51
135,AGPAT141,2.3.1.51
136,AGPAT160,2.3.1.51
137,AGPAT161,2.3.1.51
138,AGPAT180,2.3.1.51
139,AGPAT181,2.3.1.51
140,AGPR,1.2.1.38
141,AHCYSNS,3.2.2.9
142,AICART,2.1.2.3
143,AIRC2,6.3.4.18
144,AIRC3,5.4.99.18
145,AKGDH,2.3.1.61
146,ALAALAD,3.4.13.22
147,ALAALAr,6.3.2.4
148,ALAGLUE,5.1.1.20
149,ALAR,5.1.1.1
150,ALATA_L,2.6.1.2
151,ALATRS,6.1.1.7
152,ALCD19,1.1.1.72
153,ALCD2x,1.1.1.71
154,ALDD19xr,1.2.1.5
155,ALDD2x,1.2.1.5
156,ALDD2y,1.2.1.5
157,ALLK,2.7.1.55
158,ALLTAMH,3.5.3.9
159,ALLTN,3.5.2.5
160,ALR2,1.1.1.-
161,ALTRH,4.2.1.7
162,AMALT1,2.4.1.25
163,AMALT2,2.4.1.25
164,AMANAPEr,5.1.3.9
165,AMANK,2.7.1.60
166,AMAOTr,2.6.1.62
